"x","y","dates"
55.5377183,-21.3893617,2018-12-11
55.51668,-21.4139683,2018-12-11
55.5048967,-21.4342883,2018-12-11
55.5042933,-21.442985,2018-12-11
55.5016267,-21.453405,2018-12-11
55.5048517,-21.4536933,2018-12-11
55.501485,-21.4606233,2018-12-11
55.4823867,-21.4580733,2018-12-11
55.4691383,-21.4564517,2018-12-11
55.470285,-21.4574483,2018-12-11
55.4508333,-21.4537633,2018-12-11
55.4186283,-21.4321217,2018-12-11
55.4102683,-21.4208117,2018-12-11
55.3877533,-21.405225,2018-12-11
55.36804,-21.3869317,2018-12-11
55.3546617,-21.3656183,2018-12-11
55.3571017,-21.35692,2018-12-11
55.3464217,-21.338875,2018-12-11
55.3389117,-21.3296167,2018-12-11
55.33154,-21.3322883,2018-12-11
55.3322433,-21.3331317,2018-12-11
55.332775,-21.3339783,2018-12-11
55.3379883,-21.3377333,2018-12-11
55.34876,-21.3419633,2018-12-11
55.3393417,-21.36717,2018-12-11
55.342865,-21.3640233,2018-12-11
55.3553383,-21.3655317,2018-12-11
55.38039,-21.3516833,2018-12-11
55.38503,-21.3584133,2018-12-11
55.3841667,-21.3828383,2018-12-11
55.40075,-21.3854217,2018-12-11
55.3967717,-21.386135,2018-12-11
55.39392,-21.3853517,2018-12-11
55.392305,-21.3842483,2018-12-11
55.3859083,-21.37772,2018-12-11
55.375015,-21.3713667,2018-12-11
55.3626783,-21.3696017,2018-12-11
55.3488567,-21.3706333,2018-12-11
55.3430767,-21.3739517,2018-12-11
55.34933,-21.3748733,2018-12-11
55.3564267,-21.387085,2018-12-11
55.37565,-21.3764,2018-12-11
55.4053533,-21.3607467,2018-12-11
55.4252233,-21.3571633,2018-12-11
55.424925,-21.3580633,2018-12-11
55.459585,-21.3658983,2018-12-11
55.5084283,-21.3668617,2018-12-11
55.185885,-21.6261533,2018-12-14
55.15133,-21.6512633,2018-12-14
55.1218333,-21.6735283,2018-12-14
55.1178233,-21.6783983,2018-12-14
55.1151967,-21.6820833,2018-12-14
55.1126533,-21.6861533,2018-12-14
55.10508,-21.6932617,2018-12-14
55.1040533,-21.695,2018-12-14
55.0682167,-21.737035,2018-12-14
55.0405917,-21.7597383,2018-12-15
55.0327017,-21.76423,2018-12-15
55.0303767,-21.7652033,2018-12-15
54.99065,-21.7996467,2018-12-15
54.9532317,-21.8331333,2018-12-15
54.9147217,-21.862365,2018-12-15
54.708715,-21.9396817,2018-12-15
54.6505617,-21.9603,2018-12-15
54.5920583,-21.9655167,2018-12-15
54.5335783,-21.9552917,2018-12-15
54.4755583,-21.9375617,2018-12-15
54.412725,-21.9241017,2018-12-15
54.3547667,-21.9009783,2018-12-15
54.3305267,-21.890965,2018-12-15
54.2594817,-21.8711417,2018-12-15
54.1935217,-21.8647433,2018-12-15
54.125805,-21.8434567,2018-12-15
54.1073083,-21.843335,2018-12-15
54.0849817,-21.8426933,2018-12-15
54.0278183,-21.8233733,2018-12-15
53.9632733,-21.8071867,2018-12-15
53.8984117,-21.7922883,2018-12-15
53.8746483,-21.7911067,2018-12-15
53.8736667,-21.786355,2018-12-15
53.884125,-21.7851017,2018-12-15
53.8816333,-21.7823833,2018-12-15
53.8809683,-21.7749583,2018-12-15
53.8834083,-21.7733567,2018-12-15
53.87444,-21.7681533,2018-12-15
53.87532,-21.76455,2018-12-15
53.8754517,-21.7621567,2018-12-15
53.8759867,-21.7612367,2018-12-15
53.8753383,-21.7610533,2018-12-15
53.8738633,-21.75699,2018-12-15
53.8732817,-21.75662,2018-12-15
53.8372283,-21.7686017,2018-12-15
53.7922417,-21.7709633,2018-12-15
53.791295,-21.7710167,2018-12-15
53.7582383,-21.7615383,2018-12-15
53.748725,-21.7589483,2018-12-15
53.6931033,-21.7572017,2018-12-15
53.642045,-21.7599483,2018-12-15
53.593725,-21.7661283,2018-12-15
53.58838,-21.7769367,2018-12-15
53.5879233,-21.7769817,2018-12-15
53.58965,-21.7803017,2018-12-15
53.59124,-21.780765,2018-12-15
53.5907333,-21.7801433,2018-12-15
53.5917283,-21.7796917,2018-12-15
53.5928917,-21.779955,2018-12-15
53.5926283,-21.7797517,2018-12-15
53.5941367,-21.7795117,2018-12-15
53.59534,-21.7793033,2018-12-15
53.5931233,-21.78489,2018-12-15
53.5934167,-21.7844567,2018-12-15
